payment_id,amount,currency,failure_code,failure_message,customer_success_rate,previous_failures,previous_recovery_attempts,previous_recovery_action,previous_outcome,customer_engagement,time_since_failure_minutes,remaining_recovery_opportunities,true_failure_type
PAY_SIM_000001,525.11,INR,INSUFFICIENT_FUNDS,,0.267,0,0,,,NONE,127,3,INSUFFICIENT_FUNDS
PAY_SIM_000002,7078.73,INR,DO_NOT_HONOR,,0.615,1,0,,,NONE,1736,3,CARD_DECLINED
PAY_SIM_000003,1269.68,INR,,The payment gateway timed out while contacting the bank.,0.822,0,0,,,NONE,327,3,BANK_TIMEOUT
PAY_SIM_000004,2709.67,INR,DO_NOT_HONOR,,0.7,0,0,,,NONE,2608,3,CARD_DECLINED
PAY_SIM_000005,3694.87,INR,GATEWAY_TIMEOUT,,0.546,3,1,SEND_RECOVERY_LINK,FAILED,LINK_OPENED,234,2,BANK_TIMEOUT
PAY_SIM_000006,2833.92,INR,DO_NOT_HONOR,,0.603,1,0,,,NONE,2399,3,CARD_DECLINED
PAY_SIM_000007,250.33,INR,ISSUER_TIMEOUT,,0.915,3,0,,,NONE,2271,3,BANK_TIMEOUT
PAY_SIM_000008,3897.87,INR,ISSUER_TIMEOUT,,0.949,1,1,SEND_RECOVERY_LINK,FAILED,LINK_SENT,440,2,BANK_TIMEOUT
PAY_SIM_000009,729.6,INR,,Do not honor - card declined by issuing bank.,0.097,1,0,,,NONE,463,3,CARD_DECLINED
PAY_SIM_000010,583.91,INR,GATEWAY_TIMEOUT,,0.109,0,0,,,NONE,2707,3,BANK_TIMEOUT
PAY_SIM_000011,6299.3,INR,CARD_DECLINED,,0.543,0,0,,,NONE,267,3,CARD_DECLINED
PAY_SIM_000012,482.68,INR,,The account does not have sufficient balance to complete this payment.,0.54,1,1,WAIT_AND_REASSESS,FAILED,NONE,1000,2,INSUFFICIENT_FUNDS
PAY_SIM_000013,2877.37,INR,BANK_503,,0.825,1,0,,,NONE,1394,3,BANK_TIMEOUT
PAY_SIM_000014,1528.84,INR,,Transaction could not be completed because of a temporary restriction at the issuer's end.,0.781,2,2,SEND_RECOVERY_LINK,FAILED,NONE,1994,1,BANK_TIMEOUT
PAY_SIM_000015,387.15,INR,,Transaction could not be completed because of a temporary restriction at the issuer's end.,0.273,1,0,,,NONE,782,3,BANK_TIMEOUT
PAY_SIM_000016,242.34,INR,,The account does not have sufficient balance to complete this payment.,0.745,0,0,,,NONE,2442,3,INSUFFICIENT_FUNDS
PAY_SIM_000017,4803.38,INR,GATEWAY_TIMEOUT,,0.62,0,0,,,NONE,841,3,BANK_TIMEOUT
PAY_SIM_000018,2872.23,INR,DO_NOT_HONOR,,0.759,3,2,RETRY_PAYMENT,FAILED,NONE,2207,1,CARD_DECLINED
PAY_SIM_000019,5626.26,INR,3DS_FAILED,,0.212,3,1,RETRY_PAYMENT,FAILED,NONE,2740,2,AUTH_FAILURE
PAY_SIM_000020,4770.09,INR,GATEWAY_TIMEOUT,,0.901,0,0,,,NONE,2820,3,BANK_TIMEOUT
PAY_SIM_000021,7981.86,INR,ISSUER_TIMEOUT,,0.382,0,0,,,NONE,1756,3,BANK_TIMEOUT
PAY_SIM_000022,3041.58,INR,AUTH_FAILURE,,0.8,2,1,RETRY_PAYMENT,FAILED,NONE,1470,2,AUTH_FAILURE
PAY_SIM_000023,4455.82,INR,,The card issuer declined this transaction.,0.523,0,0,,,NONE,1691,3,CARD_DECLINED
PAY_SIM_000024,3321.01,INR,GATEWAY_TIMEOUT,,0.865,0,0,,,NONE,937,3,BANK_TIMEOUT
PAY_SIM_000025,565.33,INR,,The card issuer declined this transaction.,0.448,0,0,,,NONE,736,3,CARD_DECLINED
PAY_SIM_000026,1147.23,INR,,Transaction could not be completed because of a temporary restriction at the issuer's end.,0.412,1,0,,,NONE,1791,0,BANK_TIMEOUT
PAY_SIM_000027,1133.38,INR,DO_NOT_HONOR,,0.82,0,0,,,NONE,1216,3,CARD_DECLINED
PAY_SIM_000028,13055.94,INR,INSUFFICIENT_FUNDS,,0.45,1,0,,,NONE,1816,3,INSUFFICIENT_FUNDS
PAY_SIM_000029,537.11,INR,,The account does not have sufficient balance to complete this payment.,0.694,0,0,,,NONE,1951,3,INSUFFICIENT_FUNDS
PAY_SIM_000030,2450.34,INR,DO_NOT_HONOR,,0.768,0,0,,,NONE,441,3,CARD_DECLINED
PAY_SIM_000031,1195.44,INR,GATEWAY_TIMEOUT,,0.562,2,1,WAIT_AND_REASSESS,FAILED,NONE,2249,2,BANK_TIMEOUT
PAY_SIM_000032,35135.83,INR,CARD_DECLINED,,0.404,0,0,,,NONE,965,3,CARD_DECLINED
PAY_SIM_000033,344.81,INR,ISSUER_TIMEOUT,,0.522,0,0,,,NONE,2397,3,BANK_TIMEOUT
PAY_SIM_000034,429.07,INR,DO_NOT_HONOR,,0.519,1,0,,,NONE,903,3,CARD_DECLINED
PAY_SIM_000035,3189.15,INR,DO_NOT_HONOR,,0.581,0,0,,,NONE,2316,3,CARD_DECLINED
PAY_SIM_000036,1675.55,INR,BANK_503,,0.561,0,0,,,NONE,1731,3,BANK_TIMEOUT
PAY_SIM_000037,1034.06,INR,INSUFFICIENT_FUNDS,,0.062,0,0,,,NONE,473,3,INSUFFICIENT_FUNDS
PAY_SIM_000038,366.43,INR,3DS_FAILED,,0.798,3,0,,,NONE,817,3,AUTH_FAILURE
PAY_SIM_000039,3080.36,INR,GATEWAY_TIMEOUT,,0.432,0,0,,,NONE,2714,3,BANK_TIMEOUT
PAY_SIM_000040,1344.92,INR,GATEWAY_TIMEOUT,,0.719,0,0,,,NONE,2527,3,BANK_TIMEOUT
PAY_SIM_000041,8170.96,INR,DO_NOT_HONOR,,0.452,1,1,SUGGEST_ALTERNATIVE_METHOD,FAILED,NONE,1336,2,CARD_DECLINED
PAY_SIM_000042,19966.11,INR,CARD_DECLINED,,0.487,1,0,,,NONE,75,3,CARD_DECLINED
PAY_SIM_000043,2421.59,INR,,Do not honor - card declined by issuing bank.,0.387,1,0,,,NONE,1034,3,CARD_DECLINED
PAY_SIM_000044,2403.28,INR,,The payment gateway timed out while contacting the bank.,0.338,3,0,,,NONE,1164,3,BANK_TIMEOUT
PAY_SIM_000045,1975.87,INR,GATEWAY_TIMEOUT,,0.65,0,0,,,NONE,1961,3,BANK_TIMEOUT
PAY_SIM_000046,2340.48,INR,ISSUER_TIMEOUT,,0.409,0,0,,,NONE,2488,3,BANK_TIMEOUT
PAY_SIM_000047,5415.98,INR,CARD_DECLINED,,0.532,3,0,,,NONE,856,3,CARD_DECLINED
PAY_SIM_000048,2321.06,INR,GATEWAY_TIMEOUT,,0.259,1,1,SEND_RECOVERY_LINK,FAILED,LINK_SENT,2235,2,BANK_TIMEOUT
PAY_SIM_000049,425.74,INR,OTP_FAILED,,0.798,1,1,WAIT_AND_REASSESS,FAILED,NONE,1798,2,AUTH_FAILURE
PAY_SIM_000050,2210.36,INR,,The account does not have sufficient balance to complete this payment.,0.166,0,0,,,NONE,1108,3,INSUFFICIENT_FUNDS
PAY_SIM_000051,54537.82,INR,CARD_DECLINED,,0.261,0,0,,,NONE,1370,3,CARD_DECLINED
PAY_SIM_000052,3021.38,INR,DO_NOT_HONOR,,0.658,3,0,,,NONE,2112,3,CARD_DECLINED
PAY_SIM_000053,717.84,INR,CARD_DECLINED,,0.645,0,0,,,NONE,502,0,CARD_DECLINED
PAY_SIM_000054,1445.27,INR,INSUFFICIENT_FUNDS,,0.421,0,0,,,NONE,1939,3,INSUFFICIENT_FUNDS
PAY_SIM_000055,3786.41,INR,GATEWAY_TIMEOUT,,0.166,0,0,,,NONE,1099,3,BANK_TIMEOUT
PAY_SIM_000056,2817.25,INR,OTP_FAILED,,0.351,3,1,SEND_RECOVERY_LINK,FAILED,LINK_SENT,961,2,AUTH_FAILURE
PAY_SIM_000057,14094.66,INR,INSUFFICIENT_FUNDS,,0.262,0,0,,,NONE,2062,3,INSUFFICIENT_FUNDS
PAY_SIM_000058,1425.64,INR,3DS_FAILED,,0.553,0,0,,,NONE,1090,3,AUTH_FAILURE
PAY_SIM_000059,669.51,INR,GATEWAY_TIMEOUT,,0.467,0,0,,,NONE,2534,3,BANK_TIMEOUT
PAY_SIM_000060,4116.23,INR,PROCESSING_ERROR,,0.171,0,0,,,NONE,1206,3,PROCESSING_ERROR
PAY_SIM_000061,3293.25,INR,DO_NOT_HONOR,,0.475,0,0,,,NONE,1045,3,CARD_DECLINED
PAY_SIM_000062,2692.02,INR,OTP_FAILED,,0.441,0,0,,,NONE,1242,3,AUTH_FAILURE
PAY_SIM_000063,1275.08,INR,,The payment gateway timed out while contacting the bank.,0.86,0,0,,,NONE,2814,3,BANK_TIMEOUT
PAY_SIM_000064,138.2,INR,OTP_FAILED,,0.51,1,1,SEND_RECOVERY_LINK,FAILED,LINK_SENT,2575,2,AUTH_FAILURE
PAY_SIM_000065,1348.03,INR,GATEWAY_TIMEOUT,,0.301,0,0,,,NONE,1121,3,BANK_TIMEOUT
PAY_SIM_000066,91.58,INR,,An unexpected error occurred while processing the transaction.,0.91,0,0,,,NONE,2767,3,PROCESSING_ERROR
PAY_SIM_000067,1379.57,INR,BANK_503,,0.168,0,0,,,NONE,1526,3,BANK_TIMEOUT
PAY_SIM_000068,6276.07,INR,INSUFFICIENT_FUNDS,,0.504,1,1,RETRY_PAYMENT,FAILED,NONE,577,0,INSUFFICIENT_FUNDS
PAY_SIM_000069,612.67,INR,,The payment gateway timed out while contacting the bank.,0.439,1,1,RETRY_PAYMENT,FAILED,NONE,2009,2,BANK_TIMEOUT
